GEOID,STATEFP,STATE,COUNTYFP,COUNTY,POP_25OV22,N_HSDIP22,HS_DIP22,SOM_COLL22,ASSO_DEG22,BACH_DEG22,MAST_DEG22,PROF_DEG22,DOCT_DEG22
26163509000,26, Michigan,163, Wayne County,931,138,282,225,5,210,30,6,35
26163509100,26, Michigan,163, Wayne County,2770,868,962,427,137,305,69,2,0
26163510600,26, Michigan,163, Wayne County,3032,1286,965,347,47,284,103,0,0
26163511200,26, Michigan,163, Wayne County,876,84,230,258,173,119,12,0,0
26163511300,26, Michigan,163, Wayne County,1655,433,457,370,127,212,27,29,0
26163511400,26, Michigan,163, Wayne County,1428,131,488,320,117,227,92,23,30
26163511900,26, Michigan,163, Wayne County,968,191,321,217,38,117,73,5,6
26163512800,26, Michigan,163, Wayne County,1256,287,470,285,73,91,19,0,31
26163513200,26, Michigan,163, Wayne County,1086,233,368,235,26,161,50,7,6
26163513300,26, Michigan,163, Wayne County,1782,162,388,605,41,288,251,25,22
26163513700,26, Michigan,163, Wayne County,2209,169,633,730,84,341,241,0,11
26163513800,26, Michigan,163, Wayne County,1551,385,518,336,100,158,31,18,5
26163513900,26, Michigan,163, Wayne County,964,220,313,344,38,31,6,12,0
26163514100,26, Michigan,163, Wayne County,1864,511,654,457,69,139,34,0,0
26163514200,26, Michigan,163, Wayne County,1373,242,349,504,77,160,41,0,0
26163514300,26, Michigan,163, Wayne County,1462,287,636,343,84,60,52,0,0
26163514500,26, Michigan,163, Wayne County,457,131,214,74,25,9,4,0,0
26163515200,26, Michigan,163, Wayne County,1289,145,698,301,53,57,6,9,20
26163515300,26, Michigan,163, Wayne County,2580,364,906,539,140,395,163,56,17
26163515400,26, Michigan,163, Wayne County,1113,49,73,88,18,478,257,75,75
26163515700,26, Michigan,163, Wayne County,2836,261,612,674,265,503,384,137,0
26163516000,26, Michigan,163, Wayne County,1833,462,506,550,69,178,38,18,12
26163516400,26, Michigan,163, Wayne County,834,102,332,58,42,166,103,12,19
26163516500,26, Michigan,163, Wayne County,1848,93,142,394,146,491,424,103,55
26163516600,26, Michigan,163, Wayne County,1234,75,368,389,120,157,124,0,1
26163516700,26, Michigan,163, Wayne County,2308,342,779,491,263,187,153,39,54
26163516800,26, Michigan,163, Wayne County,502,75,273,84,18,32,20,0,0
26163516900,26, Michigan,163, Wayne County,1870,224,390,637,65,262,189,18,85
26163517000,26, Michigan,163, Wayne County,2351,25,197,489,173,931,290,160,86
26163517100,26, Michigan,163, Wayne County,1102,11,71,158,124,252,383,90,13
26163517200,26, Michigan,163, Wayne County,2033,344,640,355,16,353,151,152,22
26163517300,26, Michigan,163, Wayne County,1611,229,256,359,80,376,144,145,22
26163517500,26, Michigan,163, Wayne County,2045,342,664,409,83,259,127,110,51
26163518000,26, Michigan,163, Wayne County,1544,45,445,227,30,434,222,72,69
