PRECINCTID,Precinct_L,NAME,age_18_19,age_20_24,age_25_29,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_dem,party_rep,party_npp,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,PRECINCT_ID_x,DEM VOTE - 2020,REP VOTE - 2020,TURNOUT - 2020,PRECINCT_ID_y,DEM VOTE - 2016,REP VOTE - 2016,TURNOUT - 2016
WP-045-21520-00007,"Delta Charter Township, Precinct 7",0452152000007,0.012583271650629163,0.0695780903034789,0.11102886750555144,0.1835677276091784,0.16062176165803108,0.18652849740932642,0.17172464840858623,0.08216136195410807,0.02220577350111029,0.681726230613621,0.19824679703304113,0.12002697235333783,0.7476155539251651,0.11812179016874541,0.06969919295671313,0.03815113719735877,0.02641232575201761,WP-045-21520-00007,0.6870937790157846,0.2961931290622098,1077.0,0452152000007,0.6158730158730159,0.3259259259259259,945.0
WP-045-21520-00008,"Delta Charter Township, Precinct 8",0452152000008,0.008089607965152458,0.12072184194150591,0.13627878033602986,0.1729931549471064,0.12756689483509645,0.14561294337274425,0.1555693839452396,0.07902924704418171,0.054138145612943375,0.6989426822481914,0.16416249304396216,0.13689482470784642,0.7766405779650812,0.09572546658639373,0.08308248043347381,0.01926550270921132,0.025285972305839857,WP-045-21520-00008,0.6859781696053736,0.2846347607052896,1191.0,0452152000008,0.6317228805834093,0.292616226071103,1097.0
WP-045-21520-00009,"Delta Charter Township, Precinct 9",0452152000009,0.015164279696714406,0.06318449873631002,0.05728727885425442,0.17270429654591407,0.13310867733782644,0.15080033698399326,0.2055602358887953,0.14574557708508845,0.05644481887110362,0.6573208722741433,0.2507788161993769,0.09190031152647975,0.7958477508650519,0.06055363321799308,0.07698961937716263,0.045847750865051905,0.020761245674740483,WP-045-21520-00009,0.6633484162895927,0.3230769230769231,1105.0,0452152000009,0.5857418111753372,0.3680154142581888,1038.0
WP-045-21520-00010,"Delta Charter Township, Precinct 10",0452152000010,0.006435006435006435,0.05855855855855856,0.1048906048906049,0.1640926640926641,0.12226512226512226,0.1788931788931789,0.20012870012870013,0.12097812097812098,0.043758043758043756,0.6362586605080831,0.24018475750577367,0.1235565819861432,0.8624678663239075,0.061696658097686374,0.04498714652956298,0.014138817480719794,0.016709511568123392,WP-045-21520-00010,0.6237077877325982,0.3569951757408683,1451.0,0452152000010,0.5655864197530864,0.3688271604938271,1296.0
WP-045-21520-00011,"Delta Charter Township, Precinct 11",0452152000011,0.013238289205702648,0.11507128309572301,0.164969450101833,0.1894093686354379,0.13441955193482688,0.12830957230142567,0.13034623217922606,0.09470468431771895,0.029531568228105907,0.6816143497757847,0.15515695067264573,0.16322869955156952,0.8476095617529881,0.08864541832669323,0.02888446215139442,0.018924302788844622,0.01593625498007968,WP-045-21520-00011,0.6579634464751958,0.3263707571801567,766.0,0452152000011,0.5972027972027972,0.3342657342657342,715.0
WP-045-21520-00012,"Delta Charter Township, Precinct 12",0452152000012,0.010674157303370787,0.08314606741573034,0.07415730337078652,0.2,0.1797752808988764,0.16067415730337078,0.16685393258426967,0.09101123595505618,0.033707865168539325,0.548907388137357,0.33610822060353795,0.1149843912591051,0.9001161440185831,0.026713124274099883,0.012195121951219513,0.03774680603948897,0.023228803716608595,WP-045-21520-00012,0.5294117647058824,0.4555694618272841,1598.0,0452152000012,0.4744255003706449,0.4595997034840622,1349.0
WP-045-21520-00013,"Delta Charter Township, Precinct 13",0452152000013,0.014074074074074074,0.09481481481481481,0.06,0.19111111111111112,0.2088888888888889,0.18222222222222223,0.14,0.08074074074074074,0.028148148148148148,0.5205574912891986,0.35470383275261325,0.12473867595818815,0.8561320754716981,0.0479559748427673,0.01650943396226415,0.06682389937106918,0.012578616352201259,WP-045-21520-00013,0.5269943593875906,0.4601128122481869,1241.0,0452152000013,0.4445554445554445,0.5004995004995005,1001.0
WP-045-21520-00014,"Delta Charter Township, Precinct 14",0452152000014,0.010582010582010581,0.06349206349206349,0.08068783068783068,0.1488095238095238,0.14484126984126985,0.19246031746031747,0.17592592592592593,0.13293650793650794,0.05026455026455026,0.6553398058252428,0.24939320388349515,0.09526699029126214,0.7349636483807006,0.050892267019167214,0.10178453403833443,0.07468605419695969,0.03767349636483807,WP-045-21520-00014,0.6539007092198581,0.3347517730496454,1410.0,0452152000014,0.6035889070146819,0.3474714518760196,1226.0
WP-045-21520-00015,"Delta Charter Township, Precinct 15",0452152000015,0.009041591320072333,0.05515370705244123,0.07233273056057866,0.17721518987341772,0.13924050632911392,0.1980108499095841,0.1962025316455696,0.11573236889692586,0.037070524412296565,0.7087458745874587,0.20874587458745875,0.08250825082508251,0.6898395721925134,0.08467023172905526,0.15597147950089127,0.035650623885918005,0.0338680926916221,WP-045-21520-00015,0.6859099804305284,0.2974559686888454,1022.0,0452152000015,0.6133032694475761,0.334836527621195,887.0
WP-045-21520-00016,"Delta Charter Township, Precinct 16",0452152000016,0.0038535645472061657,0.0789980732177264,0.06840077071290944,0.17052023121387283,0.13776493256262043,0.21098265895953758,0.19171483622350674,0.09730250481695568,0.04046242774566474,0.5954063604240283,0.2950530035335689,0.10954063604240283,0.7254707631318137,0.05153617443012884,0.19226957383548068,0.02180376610505451,0.008919722497522299,WP-045-21520-00016,0.5559038662486938,0.4263322884012539,957.0,0452152000016,0.4794007490636704,0.4469413233458177,801.0
WP-045-24520-00001,"Eaton Township, Precinct 1",0452452000001,0.014206300185299567,0.06856084002470661,0.06423718344657196,0.15688696726374304,0.14947498455836936,0.22544780728844965,0.18344657195799877,0.11488573193329216,0.02285361334156887,0.45910138248847926,0.4055299539170507,0.13536866359447006,0.9499374217772215,0.03316645807259074,0.0,0.007509386733416771,0.009386733416770964,WP-045-24520-00001,0.3420289855072463,0.6326086956521739,1380.0,0452452000001,0.356401384083045,0.5922722029988466,1734.0
WP-045-24520-00002,"Eaton Township, Precinct 2",0452452000002,0.011134307585247043,0.07167710508002784,0.05358385525400139,0.1558803061934586,0.16214335421016005,0.21920668058455114,0.18093249826026445,0.11064718162839249,0.03479471120389701,0.45289148797920725,0.4041585445094217,0.142949967511371,0.9465049928673324,0.02282453637660485,0.003566333808844508,0.016405135520684736,0.010699001426533523,WP-045-24520-00002,0.3706070287539936,0.6126198083067093,1252.0,0452452000002,0.2941176470588235,0.64349376114082,561.0
WP-045-24540-00001,"City of Eaton Rapids, Precinct 1",0452454000001,0.006705783738474434,0.10226320201173512,0.10393964794635373,0.1768650461022632,0.16596814752724226,0.18943839061190276,0.14333612740989102,0.07963118189438391,0.03185247275775356,0.6408504176157934,0.2164009111617312,0.1427486712224753,0.9273648648648649,0.059966216216216214,0.002533783783783784,0.0059121621621621625,0.004222972972972973,WP-045-24540-00001,0.4298820445609436,0.5478374836173001,763.0,0452454000001,0.3508245877061469,0.5367316341829086,667.0
WP-045-24540-00002,"City of Eaton Rapids, Precinct 2",0452454000002,0.013300083125519535,0.08977556109725686,0.09559434746467166,0.19035743973399832,0.1862011637572735,0.18703241895261846,0.13798836242726517,0.06816292601828762,0.03158769742310889,0.5752078609221466,0.2252456538170824,0.19954648526077098,0.9573070607553367,0.031198686371100164,0.0016420361247947454,0.0049261083743842365,0.0049261083743842365,WP-045-24540-00002,0.4083640836408364,0.5547355473554736,813.0,0452454000002,0.3972392638036809,0.5138036809815951,652.0
WP-045-24540-00003,"City of Eaton Rapids, Precinct 3",0452454000003,0.014448669201520912,0.0844106463878327,0.07680608365019011,0.18403041825095057,0.19239543726235742,0.1908745247148289,0.14220532319391635,0.07908745247148288,0.03574144486692015,0.5626740947075209,0.27158774373259054,0.16573816155988857,0.9349019607843138,0.043137254901960784,0.00392156862745098,0.00784313725490196,0.01019607843137255,WP-045-24540-00003,0.4645974781765276,0.5179437439379243,1031.0,0452454000003,0.4207188160676532,0.4989429175475687,946.0
